id,portfolio_id,mode,bot_name,symbol,side,leverage,amount,entry_price,entry_time,exit_price,exit_time,tp_price,sl_price,funding_rate,status,exit_reason,pnl_pct,pnl_amount,fee_amount,exchange_order_id,metadata,created_at,trade_serial
224,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,49236.82914820286,0.002031,2026-03-15T05:57:03.894627,0.00201069,2026-03-15T06:16:46.459132,0.0020919299999999997,0.00201069,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 20:57:03,
225,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,49236.82914820286,0.002031,2026-03-15T05:57:04.921523,0.00201069,2026-03-15T06:16:46.479338,0.0020919299999999997,0.00201069,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 20:57:04,
226,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,49603.1746031746,0.002016,2026-03-15T06:16:12.673352,0.002011968,2026-03-15T06:16:46.499973,0.00202608,0.002011968,,closed,SL,-8.4,-8.4,0.22,,,2026-03-14 21:16:12,
227,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,49504.9504950495,0.00202,2026-03-15T06:17:23.847990,0.0019998,2026-03-15T06:27:21.380838,0.0020806,0.0019998,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 21:17:23,
228,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,49115.91355599214,0.002036,2026-03-15T06:18:09.971449,0.00201564,2026-03-15T06:24:27.020575,0.0020970800000000003,0.00201564,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 21:18:09,
229,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,50505.05050505051,0.00198,2026-03-15T06:31:12.804949,0.0020394000000000002,2026-03-15T07:07:18.785983,0.0020394000000000002,0.0019602,,closed,TP,19.46,19.46,0.22,,,2026-03-14 21:31:12,
230,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,50505.05050505051,0.00198,2026-03-15T06:31:13.807830,0.0020394000000000002,2026-03-15T07:07:18.796359,0.0020394000000000002,0.0019602,,closed,TP,2.78,2.78,0.22,,,2026-03-14 21:31:13,
231,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,50505.05050505051,0.00198,2026-03-15T06:31:14.278326,0.0020394000000000002,2026-03-15T07:07:18.806215,0.0020394000000000002,0.0019602,,closed,TP,8.34,8.34,0.22,,,2026-03-14 21:31:14,
232,,paper,levburn_sec,COS_USDT,long,10.0,87757.7885037297,0.002279,2026-03-15T07:04:40.375112,0.0022676050000000002,2026-03-15T07:07:18.817421,0.002313185,0.0022676050000000002,,closed,SL,-7.2,-14.4,0.44,,,2026-03-14 22:04:40,
233,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,1446.7592592592594,0.06912,2026-03-15T07:05:21.470604,0.0684288,2026-03-15T07:23:09.299104,0.07119360000000001,0.0684288,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 22:05:21,
234,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,46446.818392940084,0.002153,2026-03-15T07:08:02.759102,0.00213147,2026-03-15T07:10:01.145479,0.00221759,0.00213147,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 22:08:02,
235,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,46533.27128897162,0.002149,2026-03-15T07:09:18.919950,0.00221347,2026-03-15T07:45:24.637062,0.00221347,0.00212751,,closed,TP,2.78,2.78,0.22,,,2026-03-14 22:09:18,
236,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,46533.27128897162,0.002149,2026-03-15T07:09:19.916934,0.00221347,2026-03-15T07:45:24.647609,0.00221347,0.00212751,,closed,TP,8.34,8.34,0.22,,,2026-03-14 22:09:19,
237,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,46360.686138154844,0.002157,2026-03-15T07:11:00.557814,0.00222171,2026-03-15T07:45:24.658368,0.00222171,0.0021354300000000002,,closed,TP,19.46,19.46,0.22,,,2026-03-14 22:11:00,
238,,paper,levburn_sec,COS_USDT,long,10.0,92165.89861751151,0.00217,2026-03-15T07:11:46.745281,0.00215915,2026-03-15T07:23:09.311509,0.0022025499999999997,0.00215915,,closed,SL,-7.2,-14.4,0.44,,,2026-03-14 22:11:46,
239,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,46620.04662004662,0.002145,2026-03-15T07:23:24.070910,0.002155725,2026-03-15T07:26:47.484333,0.002155725,0.00214071,,closed,TP,5.6,5.6,0.22,,,2026-03-14 22:23:24,
240,,paper,levburn_sec_fr_extreme,COS_USDT,long,10.0,139860.13986013984,0.002145,2026-03-15T07:23:25.092287,0.0021879000000000004,2026-03-15T07:41:38.108161,0.0021879000000000004,0.00212784,,closed,TP,17.8,53.4,0.66,,,2026-03-14 22:23:25,
241,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,45850.527281063725,0.002181,2026-03-15T07:28:36.290223,0.0021766380000000003,2026-03-15T07:35:09.627212,0.002191905,0.0021766380000000003,,closed,SL,-8.4,-8.4,0.22,,,2026-03-14 22:28:36,
242,,paper,levburn_sec,COS_USDT,long,10.0,91659.02841429881,0.002182,2026-03-15T07:32:17.854970,0.00221473,2026-03-15T07:45:24.667548,0.00221473,0.00217109,,closed,TP,12.8,25.6,0.44,,,2026-03-14 22:32:17,
243,,paper,levburn_sec_lev1,COS_USDT,long,1.0,91659.02841429881,0.002182,2026-03-15T07:32:18.857726,0.00221473,2026-03-15T07:45:24.677528,0.00221473,0.00217109,,closed,TP,1.28,2.56,0.44,,,2026-03-14 22:32:18,
244,,paper,levburn_sec_fr_extreme_lev1,COS_USDT,long,1.0,137488.54262144823,0.002182,2026-03-15T07:32:19.314395,0.00222564,2026-03-15T07:45:24.688780,0.00222564,0.002164544,,closed,TP,1.78,5.34,0.66,,,2026-03-14 22:32:19,
245,,paper,levburn_sec_lev3,COS_USDT,long,3.0,91659.02841429881,0.002182,2026-03-15T07:32:19.778073,0.00221473,2026-03-15T07:45:24.699204,0.00221473,0.00217109,,closed,TP,3.84,7.68,0.44,,,2026-03-14 22:32:19,
246,,paper,levburn_sec_fr_extreme_lev3,COS_USDT,long,3.0,137488.54262144823,0.002182,2026-03-15T07:32:20.247017,0.00222564,2026-03-15T07:45:24.709264,0.00222564,0.002164544,,closed,TP,5.34,16.02,0.66,,,2026-03-14 22:32:20,
247,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,44843.04932735425,0.00223,2026-03-15T07:42:32.158352,0.00224115,2026-03-15T07:45:24.719097,0.00224115,0.0022255400000000002,,closed,TP,5.6,5.6,0.22,,,2026-03-14 22:42:32,
248,,paper,levburn_sec_fr_extreme,COS_USDT,long,10.0,133928.57142857145,0.00224,2026-03-15T07:42:43.162165,0.0022848,2026-03-15T07:48:27.339831,0.0022848,0.00222208,,closed,TP,17.8,53.4,0.66,,,2026-03-14 22:42:43,
249,,paper,levburn_sec,COS_USDT,long,10.0,89047.19501335708,0.002246,2026-03-15T07:45:45.136165,0.00227969,2026-03-15T07:48:27.353447,0.00227969,0.00223477,,closed,TP,12.8,25.6,0.44,,,2026-03-14 22:45:45,
250,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,44247.787610619474,0.00226,2026-03-15T07:45:46.613163,0.0022373999999999996,2026-03-15T08:13:34.369701,0.0023278,0.0022373999999999996,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 22:45:46,
251,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,44247.787610619474,0.00226,2026-03-15T07:45:47.376769,0.0022373999999999996,2026-03-15T08:13:34.389877,0.0023278,0.0022373999999999996,,closed,SL,-1.22,-1.22,0.22,,,2026-03-14 22:45:47,
252,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,43936.731107205625,0.002276,2026-03-15T07:45:48.449849,0.0022532399999999997,2026-03-15T08:01:17.479963,0.00234428,0.0022532399999999997,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 22:45:48,
253,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,43440.48653344918,0.002302,2026-03-15T07:55:20.623928,0.0022973959999999997,2026-03-15T07:57:33.544354,0.0023135099999999995,0.0022973959999999997,,closed,SL,-8.4,-8.4,0.22,,,2026-03-14 22:55:20,
254,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,44483.985765124555,0.002248,2026-03-15T08:03:53.183505,0.00222552,2026-03-15T08:16:24.866087,0.00231544,0.00222552,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 23:03:53,
255,,paper,levburn_sec,COS_USDT,long,10.0,87489.06386701662,0.002286,2026-03-15T08:05:04.525270,0.0022745699999999996,2026-03-15T08:05:09.208742,0.0023202899999999996,0.0022745699999999996,,closed,SL,-7.2,-14.4,0.44,,,2026-03-14 23:05:04,
256,,paper,levburn_sec_fr_extreme,COS_USDT,long,10.0,130548.30287206266,0.002298,2026-03-15T08:05:05.493719,0.002279616,2026-03-15T08:05:09.221007,0.00234396,0.002279616,,closed,SL,-10.2,-30.6,0.66,,,2026-03-14 23:05:05,
257,,paper,levburn_sec_lev1,COS_USDT,long,1.0,85726.53236176596,0.002333,2026-03-15T08:05:15.984544,0.002321335,2026-03-15T08:07:55.339216,0.002367995,0.002321335,,closed,SL,-0.72,-1.44,0.44,,,2026-03-14 23:05:15,
